"program","facility_name","facility_oid","org_name","org_oid","cert_ehr","validator_keyid"
"MDCH_CANCER","Abbasi Dermatology","2.16.840.1.113883.3.5416.1.160.1","Abbasi Dermatology","2.16.840.1.113883.3.5416.1.160","Modernizing Medicine","AC"
"MDCH_CANCER","Adult and Pediatric Dermatology","2.16.840.1.113883.3.5416.1.354.1","Adult and Pediatric Dermatology","2.16.840.1.113883.3.5416.1.354","Modernizing Medicine","AD"
"MDCH_CANCER","Adult Medicine Specialists","2.16.840.1.113883.3.137.4.903.13.26","Mercy Health Physician Services","2.16.840.1.113883.3.137.4.903.13","NextGen ","58"
"MDCH_CANCER","Affiliated Troy Dermatologists","2.16.840.1.113883.9.162.1","Affiliated Troy Dermatologists","2.16.840.1.113883.9.162","Modernizing Medicine","A5"
"MDCH_CANCER","Allan Tompkins","2.16.840.1.113883.17.4039.1","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Endocrinology","2.16.840.1.113883.3.5416.1.1568","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance ENT","2.16.840.1.113883.17.4031.1","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Gastroenterology","2.16.840.1.113883.17.4066.2","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance General Surgery","2.16.840.1.113883.17.4030.1","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Hematology Oncology","2.16.840.1.113883.17.4030.2","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Neurology","2.16.840.1.113883.3.5794.5","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Neurosurgery","2.16.840.1.113883.3.5794.6","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Orthopaedic","2.16.840.1.113883.3.5794.2","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Osteoporosis Clinic","2.16.840.1.113883.3.5416.1.1682","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Outpatient Behavioral Health","2.16.840.1.113883.17.4042.1","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Pain Management Center","2.16.840.1.113883.3.5794.8","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
"MDCH_CANCER","Allegiance Rheumatology","2.16.840.1.113883.3.5794.10","Jackson Community Medical Record ","2.16.840.1.113883.17.4061","NextGen ","72"
